SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2015-16,regular-season,MIA,82,48,34,48.4,103.7,34.3,72.9,6.7,6.5,15.6,13.0,10.7,42.0
2015-16,regular-season,IND,82,45,37,48.5,102.2,33.9,71.4,9.0,4.8,16.3,13.0,12.2,41.6
2015-16,regular-season,DET,82,44,38,48.5,104.9,33.9,75.3,7.0,3.7,14.6,10.7,10.4,44.4
2015-16,regular-season,POR,82,44,38,48.3,106.8,33.9,72.8,6.9,4.6,16.3,12.4,11.1,40.9
2015-16,regular-season,CHI,82,42,40,48.5,105.5,35.2,71.4,6.0,5.7,16.0,14.3,13.8,44.4
2015-16,regular-season,DAL,82,42,40,48.8,105.9,33.9,72.3,6.8,3.7,14.8,13.4,16.0,40.9
2015-16,regular-season,MEM,82,42,40,48.4,107.1,30.5,70.9,8.8,4.3,15.1,11.8,14.6,38.5
2015-16,regular-season,HOU,82,41,41,48.4,107.3,31.7,69.2,10.0,5.2,19.5,14.7,14.4,44.6
2015-16,regular-season,WAS,82,41,41,48.2,105.1,32.8,73.7,8.6,3.9,15.7,11.7,12.7,41.2
2015-16,regular-season,UTA,82,40,42,48.7,103.2,32.5,73.1,7.7,5.2,16.0,11.5,11.7,39.6
2015-16,regular-season,ORL,82,35,47,48.5,106.0,33.0,72.6,8.2,5.1,16.0,11.4,13.2,43.5
2015-16,regular-season,DEN,82,33,49,48.4,108.2,33.1,73.2,7.4,4.8,16.8,12.1,13.0,43.1
2015-16,regular-season,MIL,82,33,49,48.4,107.8,31.2,68.9,8.2,5.8,17.7,14.1,13.0,44.0
2015-16,regular-season,SAC,82,33,49,48.3,107.6,33.7,71.7,8.9,4.5,18.6,13.6,15.0,43.6
2015-16,regular-season,NYK,82,32,50,48.3,106.7,34.0,71.8,5.7,5.7,15.4,12.7,12.8,43.1
2015-16,regular-season,NOP,82,30,52,48.2,108.4,33.1,74.8,7.7,4.2,14.9,11.3,11.7,43.2
2015-16,regular-season,MIN,82,29,53,48.5,109.0,31.5,70.2,8.0,4.6,17.8,13.2,13.4,46.1
2015-16,regular-season,PHX,82,23,59,48.1,107.9,33.3,73.3,7.7,3.8,20.2,12.6,17.3,43.8
2015-16,regular-season,BKN,82,21,61,48.2,109.7,31.9,71.6,7.6,4.0,18.3,12.1,14.5,47.9
2015-16,regular-season,LAL,82,17,65,48.1,110.3,32.3,71.2,7.2,4.1,16.5,14.3,17.0,47.8
2015-16,regular-season,PHI,82,10,72,48.3,108.6,31.8,69.3,8.3,6.0,20.0,14.7,16.7,45.6
2015-16,playoffs,CLE,21,16,5,48.0,105.2,32.6,74.5,7.8,4.2,13.5,10.6,8.4,36.9
2015-16,playoffs,GSW,24,15,9,48.2,105.1,32.7,67.6,8.0,5.5,16.0,15.5,15.2,42.3
2015-16,playoffs,OKC,18,11,7,48.0,105.8,34.4,72.7,7.7,5.4,14.8,11.2,13.7,40.8
2015-16,playoffs,TOR,20,10,10,48.8,106.4,29.6,73.7,7.5,3.7,15.0,12.0,11.4,39.1
2015-16,playoffs,MIA,14,7,7,49.1,101.3,35.1,74.0,5.4,5.9,14.6,11.1,7.6,40.9
2015-16,playoffs,SAS,10,6,4,48.0,100.5,31.6,68.6,9.1,7.0,12.4,12.7,13.1,39.0
2015-16,playoffs,POR,11,5,6,48.5,108.5,34.7,73.4,6.2,3.9,14.1,13.7,11.8,43.1
2015-16,playoffs,ATL,10,4,6,48.5,104.0,35.4,70.5,7.5,7.6,16.5,13.6,11.6,36.0
2015-16,playoffs,CHA,7,3,4,48.0,108.1,29.7,72.4,5.7,3.3,9.7,13.6,9.4,43.4
2015-16,playoffs,IND,7,3,4,48.0,101.9,30.1,62.0,7.6,5.6,16.9,16.0,9.6,37.1
2015-16,playoffs,BOS,6,2,4,48.8,101.2,35.3,74.8,6.3,6.5,14.3,11.5,15.2,44.7
2015-16,playoffs,LAC,6,2,4,48.0,101.9,34.8,69.3,8.5,4.7,10.3,13.7,13.7,36.7
2015-16,playoffs,DAL,5,1,4,48.0,120.4,25.8,62.7,6.0,2.4,16.6,16.6,17.4,42.0
2015-16,playoffs,HOU,5,1,4,48.0,110.7,33.0,74.2,8.4,4.2,23.6,11.4,19.0,43.2
2015-16,playoffs,DET,4,0,4,48.0,119.3,30.8,70.1,5.3,3.3,16.8,13.0,10.5,33.5
2015-16,playoffs,MEM,4,0,4,48.0,113.2,27.3,73.3,7.8,4.0,19.3,9.5,14.5,37.5
2015-16,all-star,-,1,1,0,48.0,119.3,42.0,68.8,20.0,0.0,19.0,31.0,30.0,96.0
2015-16,all-star,-,1,0,1,48.0,136.1,42.0,69.1,11.0,2.0,25.0,31.0,44.0,88.0
2016-17,pre-season,GSW,7,6,1,48.7,96.6,37.3,71.1,10.7,7.4,20.7,15.9,16.1,39.4
2016-17,pre-season,ATL,7,5,2,48.0,93.2,37.6,75.3,7.4,5.7,18.9,9.7,14.1,34.9
2016-17,pre-season,BOS,7,5,2,48.0,96.7,34.1,71.6,9.9,4.4,19.6,13.7,13.7,42.0
2016-17,pre-season,HOU,7,5,2,49.4,102.3,37.9,76.1,7.9,5.4,18.4,11.7,13.9,43.4
2016-17,pre-season,MIN,7,5,2,48.0,93.1,35.9,77.0,10.1,6.7,20.4,11.4,12.4,40.0
2016-17,pre-season,DEN,8,4,4,48.6,100.9,37.9,75.9,8.0,4.1,17.1,11.4,12.5,39.8
2016-17,pre-season,MEM,6,4,2,49.7,97.0,32.5,72.2,11.8,4.7,16.3,12.8,14.2,41.7
2016-17,pre-season,MIA,8,4,4,48.0,99.1,36.5,73.0,8.5,6.5,16.9,14.9,11.3,39.5
2016-17,pre-season,NYK,6,4,2,48.0,104.1,29.8,70.9,12.0,4.3,22.5,12.3,13.8,41.7
2016-17,pre-season,PHX,6,4,2,48.0,96.4,33.3,70.8,11.3,5.2,19.0,14.2,14.8,38.7
2016-17,pre-season,POR,7,4,3,48.7,101.4,38.4,77.4,7.0,3.7,20.4,11.6,13.3,40.6
2016-17,pre-season,SAS,6,4,2,48.0,93.5,35.7,72.9,11.0,5.3,18.5,11.5,17.0,42.3
2016-17,pre-season,TOR,7,4,3,48.0,105.0,30.3,72.7,11.1,4.9,14.4,11.7,10.1,35.4
2016-17,pre-season,WAS,7,4,3,49.4,97.1,33.6,76.9,12.0,3.0,15.3,9.9,15.0,41.4
2016-17,pre-season,CHA,7,3,4,48.7,98.0,36.9,73.4,7.1,5.0,20.0,14.0,12.3,36.0
2016-17,pre-season,CHI,7,3,4,48.7,100.1,37.6,75.7,7.0,7.4,18.6,11.4,16.1,38.6
2016-17,pre-season,DET,6,3,3,48.0,94.4,34.3,75.9,8.2,3.3,18.2,9.7,7.7,36.0
2016-17,pre-season,IND,6,3,3,48.0,102.6,35.2,74.9,9.5,4.8,14.8,8.2,14.8,42.0
2016-17,pre-season,LAC,6,3,3,48.0,103.2,31.3,74.8,8.2,3.3,22.0,9.3,16.7,41.3
2016-17,pre-season,MIL,6,3,3,48.0,101.0,32.5,72.3,8.7,4.8,20.3,11.0,16.0,39.3
2016-17,pre-season,OKC,6,3,3,48.8,104.6,34.0,71.8,9.0,4.3,21.8,15.8,12.0,36.7
2016-17,pre-season,SAC,6,3,3,48.0,101.6,33.8,74.7,12.3,4.0,23.0,11.0,17.5,36.0
2016-17,pre-season,UTA,6,3,3,48.0,96.8,35.2,76.6,9.0,5.0,18.8,9.8,12.7,40.0
2016-17,pre-season,CLE,6,2,4,48.0,105.8,33.0,71.6,8.5,4.2,16.3,14.0,15.3,45.7
2016-17,pre-season,DAL,7,2,5,48.0,105.4,33.0,69.9,6.9,4.7,17.6,12.4,17.4,38.9
2016-17,pre-season,LAL,8,2,6,48.6,103.0,32.4,70.5,9.9,3.8,20.5,13.5,16.0,45.3
2016-17,pre-season,ORL,7,2,5,48.7,105.8,34.3,76.7,7.9,4.6,21.7,11.4,13.6,43.1
2016-17,pre-season,PHI,7,2,5,49.4,103.3,35.1,73.6,8.1,5.7,21.6,10.7,17.4,44.3
2016-17,pre-season,BKN,6,1,5,48.0,106.5,32.0,69.9,9.3,1.7,22.2,14.2,15.2,46.3
2016-17,pre-season,-,1,1,0,53.0,122.3,29.0,64.0,9.0,5.0,37.0,18.0,10.0,60.0
2016-17,pre-season,NOP,6,1,5,48.8,107.6,37.8,70.6,6.5,4.3,20.5,14.5,13.5,46.3
2016-17,pre-season,-,1,0,1,48.0,98.9,22.0,68.6,15.0,2.0,31.0,5.0,12.0,40.0
2016-17,pre-season,-,1,0,1,48.0,138.6,20.0,64.9,7.0,3.0,26.0,14.0,13.0,58.0
2016-17,pre-season,-,1,0,1,48.0,128.6,21.0,-,7.0,0.0,37.0,12.0,28.0,78.0
2016-17,pre-season,-,1,0,1,48.0,128.4,35.0,70.6,4.0,2.0,34.0,15.0,22.0,64.0
2016-17,regular-season,GSW,82,67,15,48.2,103.4,35.0,70.9,9.6,6.8,16.7,14.0,14.4,45.4
2016-17,regular-season,SAS,82,61,21,48.3,102.9,33.9,73.0,8.0,5.9,14.7,12.4,12.6,40.8
2016-17,regular-season,HOU,82,55,27,48.2,108.4,33.5,71.7,8.2,4.3,17.5,13.8,14.3,49.0
2016-17,regular-season,BOS,82,53,29,48.2,108.0,32.9,70.5,7.5,4.1,15.2,13.9,12.2,43.2
2016-17,regular-season,CLE,82,51,31,48.5,109.7,34.4,72.2,6.6,4.0,16.6,13.7,13.3,44.5
2016-17,regular-season,LAC,82,51,31,48.2,107.5,34.0,73.3,7.5,4.2,15.2,12.7,14.3,42.7
2016-17,regular-season,TOR,82,51,31,48.2,107.1,32.6,71.7,8.3,4.9,14.9,13.1,11.5,41.7
2016-17,regular-season,UTA,82,51,31,48.2,104.7,33.8,74.3,6.7,5.0,15.2,10.7,10.5,41.0
2016-17,regular-season,WAS,82,49,33,48.4,108.8,32.6,71.6,8.5,4.1,16.4,13.8,12.1,43.9
2016-17,regular-season,OKC,82,47,35,48.3,107.1,34.4,74.2,7.9,5.0,16.9,12.2,11.1,47.5
2016-17,regular-season,ATL,82,43,39,48.5,105.2,34.1,71.7,8.2,4.8,17.4,13.2,12.8,39.1
2016-17,regular-season,MEM,82,43,39,48.5,106.5,32.0,73.1,8.0,4.2,14.8,11.5,14.6,37.8
2016-17,regular-season,IND,82,42,40,48.4,108.1,33.0,71.3,8.2,5.0,16.2,12.9,10.6,39.7
2016-17,regular-season,MIL,82,42,40,48.2,108.7,31.6,70.6,8.1,5.3,16.2,12.7,11.7,43.7
2016-17,regular-season,CHI,82,41,41,48.2,106.2,34.1,73.3,7.8,4.8,15.5,11.9,13.7,45.2
2016-17,regular-season,MIA,82,41,41,48.2,106.4,33.0,71.8,7.2,5.7,13.9,12.8,10.3,44.5
2016-17,regular-season,POR,82,41,41,48.6,110.0,33.5,72.0,7.0,5.0,15.7,12.6,12.7,42.9
2016-17,regular-season,DEN,82,40,42,48.2,111.7,34.6,75.3,6.9,3.9,18.0,12.2,14.3,47.4
2016-17,regular-season,DET,82,37,45,48.3,106.7,34.6,77.5,7.0,3.8,12.7,10.1,10.7,41.2
2016-17,regular-season,CHA,82,36,46,48.4,108.4,34.8,74.9,7.0,4.8,13.1,11.4,12.9,40.5
2016-17,regular-season,NOP,82,34,48,48.5,106.8,35.1,72.8,7.8,5.5,15.6,12.4,13.6,44.1
2016-17,regular-season,DAL,82,33,49,48.2,107.7,30.7,73.3,7.5,3.7,14.0,11.6,13.6,39.5
2016-17,regular-season,SAC,82,32,50,48.5,110.8,32.3,72.3,7.6,4.0,17.4,12.5,14.7,40.7
2016-17,regular-season,MIN,82,31,51,48.3,110.9,31.0,71.0,8.0,4.5,17.2,13.4,13.9,46.2
2016-17,regular-season,NYK,82,31,51,48.4,110.7,33.2,69.8,7.1,5.5,16.5,14.7,14.0,46.1
2016-17,regular-season,ORL,82,29,53,48.3,110.3,33.3,72.6,7.1,4.8,15.9,13.3,13.0,46.6
2016-17,regular-season,PHI,82,28,54,48.4,108.2,33.0,70.9,8.4,5.1,18.5,13.4,15.3,45.1
2016-17,regular-season,LAL,82,26,56,48.1,112.0,32.1,71.7,8.2,3.9,18.0,13.3,16.2,47.4
2016-17,regular-season,PHX,82,24,58,48.4,111.3,33.1,71.8,8.2,4.9,18.1,13.5,16.0,44.0
2016-17,regular-season,BKN,82,20,62,48.2,110.1,35.1,71.6,7.2,4.7,19.1,14.3,14.0,45.0
2016-17,playoffs,GSW,17,16,1,48.0,105.3,36.5,73.2,8.7,6.1,17.4,12.5,13.5,45.1
2016-17,playoffs,CLE,18,13,5,48.0,111.8,32.9,70.4,7.4,4.7,14.5,12.4,13.4,43.0
2016-17,playoffs,BOS,18,9,9,48.3,113.5,28.5,68.2,7.7,4.1,15.3,14.3,12.7,46.1
2016-17,playoffs,SAS,16,8,8,48.6,111.6,31.7,73.7,7.8,4.7,15.9,11.3,16.3,41.1
2016-17,playoffs,WAS,13,7,6,48.4,110.5,31.8,71.9,7.9,6.6,16.2,13.5,12.3,43.1
2016-17,playoffs,HOU,11,6,5,48.5,108.9,33.0,67.9,7.7,4.6,18.5,14.2,14.9,48.4
2016-17,playoffs,TOR,10,4,6,48.0,110.1,32.5,75.9,7.4,4.4,16.3,8.2,12.4,37.0
2016-17,playoffs,UTA,11,4,7,48.0,110.4,32.4,76.9,7.4,3.2,13.4,11.4,12.6,41.3
2016-17,playoffs,LAC,7,3,4,48.0,109.0,30.0,78.2,6.3,2.4,15.1,11.0,7.6,42.6
2016-17,playoffs,ATL,6,2,4,48.0,107.7,33.0,73.1,6.0,3.3,18.3,10.3,20.7,39.3
2016-17,playoffs,CHI,6,2,4,48.0,110.5,34.2,74.7,7.2,5.2,16.7,11.2,11.2,46.3
2016-17,playoffs,MEM,6,2,4,48.8,119.2,27.8,69.2,5.2,2.5,14.7,13.3,9.2,36.7
2016-17,playoffs,MIL,6,2,4,48.0,103.7,29.8,74.0,8.2,5.0,16.3,9.7,11.3,37.0
2016-17,playoffs,OKC,5,1,4,48.0,113.7,31.4,68.6,8.4,8.0,12.0,18.4,6.6,51.6
2016-17,playoffs,IND,4,0,4,48.0,119.0,30.3,71.1,8.0,3.8,13.3,12.5,4.5,39.0
2016-17,playoffs,POR,4,0,4,48.0,116.9,34.0,73.6,7.3,4.8,16.3,10.8,20.0,44.5
2016-17,all-star,-,1,1,0,48.0,123.0,46.0,81.4,16.0,1.0,30.0,14.0,107.0,106.0
2016-17,all-star,-,1,0,1,48.0,128.9,40.0,72.9,17.0,1.0,25.0,23.0,106.0,120.0
2017-18,pre-season,POR,6,5,1,48.0,91.9,36.7,78.0,8.0,4.5,17.0,3.0,9.2,34.7
2017-18,pre-season,UTA,5,5,0,48.0,86.5,36.0,79.6,11.0,5.6,22.4,2.4,12.6,33.2
2017-18,pre-season,BOS,4,4,0,48.0,90.7,36.8,76.6,10.0,5.3,15.3,6.3,5.5,42.5
2017-18,pre-season,DAL,6,4,2,48.0,95.1,37.0,80.0,9.3,4.2,14.8,4.7,7.0,35.3
2017-18,pre-season,HOU,5,4,1,48.0,89.7,35.0,80.9,10.4,5.0,14.4,2.2,8.0,41.2
2017-18,pre-season,WAS,5,4,1,47.2,98.1,32.0,77.4,8.2,4.2,19.6,4.4,7.6,41.2
2017-18,pre-season,BKN,4,3,1,48.0,90.9,39.5,78.0,9.8,4.8,17.0,1.8,7.8,38.5
2017-18,pre-season,CHI,6,3,3,47.2,101.7,35.2,85.1,8.0,5.2,15.2,1.7,8.7,38.0
2017-18,pre-season,DEN,5,3,2,48.0,98.3,33.2,75.2,8.8,3.8,17.8,8.0,13.2,47.2
2017-18,pre-season,IND,4,3,1,48.0,93.4,33.5,81.2,10.8,4.8,19.8,0.0,3.3,41.5
2017-18,pre-season,MEM,5,3,2,48.0,87.6,38.4,83.3,9.4,6.0,15.4,2.2,12.8,39.6
2017-18,pre-season,MIA,6,3,3,48.0,97.1,36.0,74.2,8.5,6.2,22.0,4.3,7.7,44.0
2017-18,pre-season,OKC,4,3,1,48.0,88.6,37.5,76.8,6.8,6.5,23.5,5.3,8.8,28.5
2017-18,pre-season,ORL,6,3,3,48.0,93.0,36.5,76.3,8.2,7.0,16.5,1.3,7.7,38.3
2017-18,pre-season,SAS,5,3,2,47.0,97.2,34.6,75.9,8.2,5.2,21.0,1.2,7.0,44.9
2017-18,pre-season,TOR,5,3,2,48.0,95.5,34.0,82.5,10.2,5.2,19.6,1.8,2.2,41.2
2017-18,pre-season,ATL,5,2,3,48.0,94.5,33.8,77.0,8.0,3.0,17.0,1.8,6.6,36.8
2017-18,pre-season,CHA,5,2,3,48.0,99.2,35.4,79.6,7.0,4.0,16.6,5.2,5.4,38.0
2017-18,pre-season,DET,5,2,3,48.0,102.6,33.8,83.7,7.0,3.0,13.6,0.4,3.8,41.6
2017-18,pre-season,GSW,4,2,2,48.0,103.6,31.0,72.2,9.0,6.5,21.5,6.8,8.8,43.0
2017-18,pre-season,LAC,5,2,3,48.0,95.9,33.4,75.3,9.8,2.6,20.0,5.4,6.2,40.4
2017-18,pre-season,LAL,6,2,4,48.0,93.2,36.3,77.2,11.2,3.5,21.7,6.5,7.7,41.3
2017-18,pre-season,MIN,3,2,1,48.0,102.4,30.7,70.0,7.3,1.7,20.7,6.0,8.0,44.0
2017-18,pre-season,PHI,5,2,3,48.0,95.9,40.2,77.9,9.6,6.4,20.0,3.4,6.6,42.4
2017-18,pre-season,PHX,5,2,3,48.0,99.1,37.6,70.5,8.2,7.2,23.0,4.4,10.0,42.0
2017-18,pre-season,CLE,5,1,4,48.0,99.8,35.0,79.9,8.4,3.8,22.2,0.0,8.4,38.8
2017-18,pre-season,MIL,4,1,3,48.0,103.1,32.8,73.1,7.8,5.0,19.8,4.3,4.0,41.5
2017-18,pre-season,NOP,4,1,3,46.9,105.2,32.5,78.9,8.0,5.5,19.8,4.5,7.3,39.5
2017-18,pre-season,SAC,6,1,5,48.0,101.7,29.7,74.8,6.8,2.8,16.2,2.3,10.7,41.7
2017-18,pre-season,-,1,0,1,48.0,104.6,36.0,81.8,5.0,3.0,9.0,0.0,23.0,42.0
2017-18,pre-season,-,1,0,1,44.2,117.5,18.0,63.6,10.0,1.0,15.0,14.0,15.0,72.0
2017-18,pre-season,-,3,0,3,48.0,114.2,26.3,75.2,10.0,5.3,29.0,0.0,9.3,46.0
2017-18,pre-season,-,1,0,1,48.0,88.7,33.0,65.0,5.0,3.0,12.0,13.0,4.0,36.0
2017-18,pre-season,NYK,5,0,5,48.0,106.0,32.6,79.7,9.6,3.6,24.4,1.4,6.0,38.4
2017-18,pre-season,-,1,0,1,48.0,128.6,29.0,78.4,9.0,1.0,41.0,0.0,21.0,62.0
2017-18,pre-season,SAC,1,0,1,48.0,105.9,29.0,71.4,11.0,1.0,21.0,11.0,10.0,64.0
2017-18,regular-season,HOU,82,65,17,48.2,105.7,34.5,75.0,8.5,4.8,15.8,11.9,11.9,48.0
2017-18,regular-season,TOR,82,59,23,48.4,105.3,34.2,72.5,7.6,6.1,15.0,13.2,11.6,45.3
2017-18,regular-season,GSW,82,58,24,48.1,106.8,35.1,71.2,8.0,7.5,18.5,13.7,14.1,47.4
2017-18,regular-season,BOS,82,55,27,48.3,103.2,35.1,73.9,7.4,4.5,15.6,11.2,10.4,43.8
2017-18,regular-season,PHI,82,52,30,48.2,103.9,36.5,73.6,8.3,5.1,18.5,12.3,10.3,41.6
2017-18,regular-season,CLE,82,50,32,48.1,111.1,33.7,73.0,7.1,3.8,16.5,12.7,11.3,47.0
2017-18,regular-season,POR,82,49,33,48.2,105.7,35.3,74.6,7.0,5.2,14.9,11.7,11.3,42.1
2017-18,regular-season,IND,82,48,34,48.2,107.3,32.7,72.1,8.8,4.1,14.8,12.8,12.3,44.8
2017-18,regular-season,NOP,82,48,34,48.7,107.4,35.6,72.6,8.0,5.9,17.3,13.8,14.2,47.7
2017-18,regular-season,OKC,82,48,34,48.4,106.4,32.6,72.5,9.1,5.0,14.4,12.8,11.2,43.5
2017-18,regular-season,UTA,82,48,34,48.2,103.0,34.2,75.6,8.6,5.1,16.4,10.8,9.5,41.8
2017-18,regular-season,MIN,82,47,35,48.3,110.2,31.6,72.0,8.4,4.2,15.2,13.0,12.9,45.7
2017-18,regular-season,SAS,82,47,35,48.1,104.1,33.9,74.1,7.7,5.6,15.0,12.2,12.5,44.1
2017-18,regular-season,DEN,82,46,36,48.5,110.0,33.5,73.6,7.6,4.9,18.7,11.2,13.0,47.3
2017-18,regular-season,MIA,82,44,38,48.6,105.8,34.2,74.1,7.6,5.3,15.6,11.8,11.0,43.5
2017-18,regular-season,MIL,82,44,38,48.4,109.1,31.5,70.9,8.8,5.4,15.8,13.0,10.1,47.3
2017-18,regular-season,WAS,82,43,39,48.4,107.7,33.1,73.2,7.9,4.3,17.1,13.1,11.0,45.4
2017-18,regular-season,LAC,82,42,40,48.1,109.2,33.7,71.8,7.7,4.5,17.4,13.2,15.4,44.8
2017-18,regular-season,DET,82,39,43,48.3,106.7,33.6,74.0,7.7,3.9,14.9,11.2,9.9,43.6
2017-18,regular-season,CHA,82,36,46,48.2,109.0,35.4,76.3,6.8,4.5,14.8,10.7,10.7,45.2
2017-18,regular-season,LAL,82,35,47,48.5,107.3,35.7,72.9,7.7,4.7,18.2,13.5,12.7,49.0
2017-18,regular-season,NYK,82,29,53,48.4,109.7,33.6,72.7,6.7,5.1,17.4,13.2,11.4,43.4
2017-18,regular-season,BKN,82,28,54,48.4,109.7,34.8,73.1,6.2,4.8,17.3,13.6,11.6,47.8
2017-18,regular-season,CHI,82,27,55,48.4,110.5,35.0,76.7,7.6,3.5,16.3,11.2,11.3,44.5
2017-18,regular-season,SAC,82,27,55,48.2,110.4,31.4,73.1,7.8,4.1,15.7,11.6,12.3,42.2
2017-18,regular-season,ORL,82,25,57,48.1,109.4,32.8,71.4,7.6,4.9,17.0,12.8,12.9,48.3
2017-18,regular-season,ATL,82,24,58,48.1,110.1,32.8,71.9,7.8,4.2,17.9,12.9,13.0,44.4
